"Points","200m","300m","400m","500m","4x200m","4x400m"
"1208","-","32.11","45.50","59.76","1:21.77","3:02.82"
"1207","20.52","32.12","45.52","59.78","1:21.80","3:02.89"
"1206","20.53","32.13","45.53","59.79","1:21.82","3:02.95"
"1205","-","32.14","45.55","59.81","1:21.85","3:03.02"
"1204","20.54","32.15","45.56","59.83","1:21.87","3:03.08"
"1203","20.55","32.16","45.58","59.85","1:21.90","3:03.15"
"1202","-","32.18","45.59","59.87","1:21.93","3:03.21"
"1201","20.56","32.19","45.61","59.89","1:21.95","3:03.28"
"1200","-","32.20","45.62","59.91","1:21.98","3:03.34"
"1199","20.57","32.21","45.63","59.93","1:22.00","3:03.41"
"1198","20.58","32.22","45.65","59.95","1:22.03","3:03.47"
"1197","-","32.23","45.66","59.97","1:22.06","3:03.54"
"1196","20.59","32.24","45.68","59.99","1:22.08","3:03.60"
"1195","20.60","32.25","45.69","1:00.01","1:22.11","3:03.67"
"1194","-","32.26","45.71","1:00.02","1:22.13","3:03.74"
"1193","20.61","32.27","45.72","1:00.04","1:22.16","3:03.80"
"1192","20.62","32.28","45.74","1:00.06","1:22.18","3:03.87"
"1191","-","32.29","45.75","1:00.08","1:22.21","3:03.93"
"1190","20.63","32.30","45.77","1:00.10","1:22.24","3:04.00"
"1189","20.64","32.32","45.78","1:00.12","1:22.26","3:04.06"
"1188","-","32.33","45.80","1:00.14","1:22.29","3:04.13"
"1187","20.65","32.34","45.81","1:00.16","1:22.31","3:04.19"
"1186","-","32.35","45.82","1:00.18","1:22.34","3:04.26"
"1185","20.66","32.36","45.84","1:00.20","1:22.37","3:04.33"
"1184","20.67","32.37","45.85","1:00.22","1:22.39","3:04.39"
"1183","-","32.38","45.87","1:00.24","1:22.42","3:04.46"
"1182","20.68","32.39","45.88","1:00.26","1:22.44","3:04.52"
"1181","20.69","32.40","45.90","1:00.28","1:22.47","3:04.59"
"1180","-","32.41","45.91","1:00.29","1:22.50","3:04.65"
"1179","20.70","32.42","45.93","1:00.31","1:22.52","3:04.72"
"1178","20.71","32.43","45.94","1:00.33","1:22.55","3:04.79"
"1177","-","32.45","45.96","1:00.35","1:22.57","3:04.85"
"1176","20.72","32.46","45.97","1:00.37","1:22.60","3:04.92"
"1175","20.73","32.47","45.99","1:00.39","1:22.63","3:04.98"
"1174","-","32.48","46.00","1:00.41","1:22.65","3:05.05"
"1173","20.74","32.49","46.02","1:00.43","1:22.68","3:05.12"
"1172","20.75","32.50","46.03","1:00.45","1:22.71","3:05.18"
"1171","-","32.51","46.05","1:00.47","1:22.73","3:05.25"
"1170","20.76","32.52","46.06","1:00.49","1:22.76","3:05.31"
"1169","20.77","32.53","46.07","1:00.51","1:22.78","3:05.38"
"1168","-","32.54","46.09","1:00.53","1:22.81","3:05.45"
"1167","20.78","32.55","46.10","1:00.55","1:22.84","3:05.51"
"1166","-","32.56","46.12","1:00.57","1:22.86","3:05.58"
"1165","20.79","32.58","46.13","1:00.59","1:22.89","3:05.64"
"1164","20.80","32.59","46.15","1:00.61","1:22.91","3:05.71"
"1163","-","32.60","46.16","1:00.63","1:22.94","3:05.78"
"1162","20.81","32.61","46.18","1:00.64","1:22.97","3:05.84"
"1161","20.82","32.62","46.19","1:00.66","1:22.99","3:05.91"
"1160","-","32.63","46.21","1:00.68","1:23.02","3:05.98"
