"Points","50m","55m","60m","50mH","55mH","60mH"
"913","6.84","-","-","7.79","8.48","-"
"912","-","-","-","-","-","9.16"
"911","-","7.41","7.95","7.80","-","-"
"910","6.85","-","-","-","8.49","-"
"909","-","-","-","-","-","9.17"
"908","-","7.42","7.96","7.81","8.50","-"
"907","-","-","-","-","-","9.18"
"906","6.86","-","-","7.82","8.51","-"
"905","-","7.43","7.97","-","-","9.19"
"904","-","-","-","-","8.52","-"
"903","6.87","-","-","7.83","-","9.20"
"902","-","7.44","7.98","-","8.53","-"
"901","-","-","-","7.84","-","9.21"
"900","6.88","-","-","-","-","-"
"899","-","7.45","7.99","7.85","8.54","9.22"
"898","-","-","-","-","-","-"
"897","-","-","-","-","8.55","9.23"
"896","6.89","7.46","8.00","7.86","-","-"
"895","-","-","-","-","8.56","9.24"
"894","-","-","-","7.87","-","-"
"893","6.90","7.47","8.01","-","8.57","9.25"
"892","-","-","-","-","-","-"
"891","-","-","-","7.88","8.58","9.26"
"890","-","-","8.02","-","-","-"
"889","6.91","7.48","-","7.89","8.59","9.27"
"888","-","-","-","-","-","-"
"887","-","-","8.03","7.90","-","9.28"
"886","6.92","7.49","-","-","8.60","-"
"885","-","-","-","-","-","9.29"
"884","-","-","8.04","7.91","8.61","-"
"883","-","7.50","-","-","-","9.30"
"882","6.93","-","-","7.92","8.62","-"
"881","-","-","8.05","-","-","9.31"
"880","-","7.51","-","-","8.63","9.32"
"879","6.94","-","-","7.93","-","-"
"878","-","-","8.06","-","8.64","9.33"
"877","-","7.52","-","7.94","-","-"
"876","6.95","-","-","-","8.65","9.34"
"875","-","-","8.07","7.95","-","-"
"874","-","7.53","-","-","-","9.35"
"873","-","-","-","-","8.66","-"
"872","6.96","-","8.08","7.96","-","9.36"
"871","-","7.54","-","-","8.67","-"
"870","-","-","-","7.97","-","9.37"
"869","6.97","-","8.09","-","8.68","-"
"868","-","7.55","-","7.98","-","9.38"
"867","-","-","-","-","8.69","-"
"866","-","-","8.10","-","-","9.39"
"865","6.98","-","-","7.99","8.70","-"
"864","-","7.56","-","-","-","9.40"
"863","-","-","8.11","8.00","8.71","-"
"862","6.99","-","-","-","-","9.41"
"861","-","7.57","-","-","8.72","-"
"860","-","-","8.12","8.01","-","9.42"
